ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
296, S33_FA_EU_BE-EUxGB WS , S33_FA_EU_BE , EUxGB WS , 408 ," 2,837 ", 36 , 205 , 465 ," 1,031 "," 1,354 "," 3,091 "," 6,295 "," 11,528 "," 13,753 "," 22,697 "," 35,209 "," 107,460 ", 120 , 327 , 631 ," 1,243 "," 1,578 "," 3,352 "," 6,604 "," 11,888 "," 14,129 "," 23,121 "," 35,677 "," 108,048 "
297, HSA_HH_EU_DE-EUxGB WS (FlrArea) , HSA_HH_EU_DE , EUxGB WS (FlrArea) ," 812,002 "," 998,423 "," 247,264 "," 649,888 "," 1,069,104 "," 1,628,316 "," 1,844,766 "," 2,648,690 "," 3,669,597 "," 4,913,393 "," 5,364,335 "," 6,972,528 "," 9,042,877 "," 18,990,084 "," 582,499 "," 1,201,817 "," 1,762,753 "," 2,438,445 "," 2,686,149 "," 3,567,357 "," 4,638,053 "," 5,917,829 "," 6,379,688 "," 8,016,013 "," 10,087,444 "," 19,995,016 "
298, S33_FA_EU_NL-EU FL HD , S33_FA_EU_NL , EU FL HD , 46 ," 2,472 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 133 ," 3,405 "," 113,495 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   , 134 ," 3,444 "," 143,004 "
299, HSA_HH_EU_PT-GB FL HD , HSA_HH_EU_PT , GB FL HD ," 2,026 "," 20,613 ", 2 , 2 , 2 , 2 , 2 ," 1,568 "," 69,641 "," 157,430 "," 180,463 "," 239,200 "," 300,742 "," 509,820 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,582 "," 69,825 "," 157,218 "," 181,027 "," 240,163 "," 302,562 "," 520,202 "
300, HSA_HH_EU_ES-GB WSSS (FlrArea) , HSA_HH_EU_ES , GB WSSS (FlrArea) ," 3,508 "," 14,267 ", 253 ," 2,412 "," 6,530 "," 13,957 "," 17,137 "," 30,010 "," 49,056 "," 77,230 "," 88,707 "," 132,288 "," 186,871 "," 422,677 ", 514 ," 3,057 "," 7,666 "," 15,655 "," 19,031 "," 32,534 "," 52,165 "," 80,760 "," 92,344 "," 136,162 "," 190,984 "," 427,539 "
301, HSA_FA_EU_ES-EUxESGB EQ , HSA_FA_EU_ES , EUxESGB EQ , 540 ," 18,964 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 12 ," 1,527 "," 10,730 "," 16,781 "," 49,714 "," 113,285 "," 717,509 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 85 ," 1,532 "," 10,755 "," 16,818 "," 49,816 "," 113,482 "," 718,383 "
302, HSA_HH_EU_FR-EUxGB WS , HSA_HH_EU_FR , EUxGB WS ," 1,553,641 "," 2,386,767 "," 450,376 "," 1,579,928 "," 2,748,471 "," 4,196,319 "," 4,729,561 "," 6,632,263 "," 9,002,774 "," 12,061,572 "," 13,254,767 "," 17,810,176 "," 23,379,492 "," 42,542,275 "," 788,243 "," 2,325,113 "," 3,806,550 "," 5,546,056 "," 6,165,672 "," 8,308,476 "," 10,868,649 "," 14,052,707 "," 15,266,101 "," 19,790,768 "," 25,259,959 "," 44,631,374 "
303, S33_FA_Lloyds-GB FL HD , S33_FA_Lloyds , GB FL HD ," 595,791 "," 2,506,662 ", -   ," 232,814 "," 914,349 "," 2,695,706 "," 3,664,872 "," 7,671,477 "," 12,265,945 "," 17,035,421 "," 18,546,717 "," 23,630,570 "," 29,182,062 "," 48,825,300 ",                       -   ," 245,680 "," 984,617 "," 2,860,869 "," 3,862,093 "," 7,962,432 "," 12,698,474 "," 17,581,885 "," 19,039,117 "," 24,222,796 "," 30,265,502 "," 49,715,653 "
304, HSA_HH_EU_FR-GB FL HD , HSA_HH_EU_FR , GB FL HD , 277 ," 6,085 ", -   , -   , -   , -   , -   , -   , 723 ," 10,959 "," 15,308 "," 37,075 "," 65,364 "," 203,235 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 722 ," 11,004 "," 15,244 "," 37,103 "," 66,897 "," 284,059 "
305, HSA_FA_EU_ES-EUxGB WS CVV , HSA_FA_EU_ES , EUxGB WS CVV , 370 ," 3,371 ", 1 , 28 , 168 , 862 ," 1,311 "," 3,735 "," 8,064 "," 14,731 "," 17,454 "," 28,000 "," 42,155 "," 120,531 ", 209 , 270 , 384 ," 1,090 "," 1,549 "," 4,018 "," 8,410 "," 15,144 "," 17,893 "," 28,502 "," 42,714 "," 121,238 "
306, HSA_HH_EU_IE-EUxESGB EQ , HSA_HH_EU_IE , EUxESGB EQ ," 16,298 "," 377,833 ",                       -   ,                       -   ,                         -   , 4 , 27 ," 1,822 "," 81,574 "," 553,807 "," 854,331 "," 2,345,496 "," 4,333,732 "," 11,168,086 ",                       -   ,                         -   ,                         -   , 71 , 476 ," 2,501 "," 81,799 "," 555,094 "," 856,253 "," 2,350,090 "," 4,341,974 "," 11,198,212 "
307, HSA_HH_EU_NL-GB WSSS CVV (FlrArea) , HSA_HH_EU_NL , GB WSSS CVV (FlrArea) ," 39,496 "," 126,425 "," 4,471 "," 27,205 "," 70,882 "," 153,100 "," 191,180 "," 349,293 "," 560,523 "," 813,627 "," 902,461 "," 1,197,648 "," 1,517,628 "," 2,706,968 "," 8,099 "," 35,930 "," 85,049 "," 173,700 "," 213,802 "," 377,875 "," 594,904 "," 853,487 "," 944,137 "," 1,244,222 "," 1,568,413 "," 2,769,502 "
308, S33_FA_Lloyds-GB WSSS , S33_FA_Lloyds , GB WSSS ," 170,561 "," 842,118 "," 32,827 "," 103,931 "," 187,178 "," 325,905 "," 394,799 "," 810,087 "," 1,893,769 "," 3,293,946 "," 3,731,777 "," 5,099,524 "," 6,657,121 "," 35,935,333 "," 104,816 "," 205,370 "," 311,430 "," 471,317 "," 545,943 "," 970,551 "," 2,053,826 "," 3,464,821 "," 3,907,624 "," 5,294,019 "," 6,877,554 "," 36,165,589 "
309, HSA_HH_EU_PT-GB WSSS (FlrArea) , HSA_HH_EU_PT , GB WSSS (FlrArea) , 425 ," 2,860 ", 1 , 127 , 558 ," 1,585 "," 2,091 "," 4,291 "," 7,614 "," 12,506 "," 14,540 "," 22,913 "," 35,453 "," 106,704 ", 66 , 192 , 654 ," 1,733 "," 2,259 "," 4,528 "," 7,929 "," 12,893 "," 14,952 "," 23,377 "," 35,950 "," 107,309 "
310, S33_FA_UK-EUxGB WS , S33_FA_UK , EUxGB WS , 45 , 457 , -   , 13 , 49 , 125 , 162 , 344 , 709 ," 1,377 "," 1,677 "," 2,952 "," 4,880 "," 17,826 ", 17 , 31 , 68 , 149 , 187 , 375 , 745 ," 1,419 "," 1,721 "," 3,001 "," 4,934 "," 17,897 "
311, HSA_HH_UK-EU FL HD , HSA_HH_UK , EU FL HD ," 24,669 "," 182,692 ", -   , -   ," 3,353 "," 67,039 "," 109,009 "," 330,229 "," 641,536 "," 998,684 "," 1,150,205 "," 1,746,282 "," 2,666,161 "," 4,505,837 ",                       -   ,                         -   ," 3,385 "," 68,157 "," 111,519 "," 334,319 "," 652,671 "," 1,021,594 "," 1,163,354 "," 1,772,604 "," 2,704,697 "," 5,424,044 "
312, S33_FA_EU_ES-EUxGB WS , S33_FA_EU_ES , EUxGB WS , 2 , 28 , -   , -   , 2 , 7 , 9 , 18 , 33 , 60 , 73 , 128 , 220 ," 1,058 ", 1 , 1 , 3 , 8 , 10 , 20 , 35 , 62 , 75 , 130 , 222 ," 1,061 "
313, HSA_HH_UK-EUxGB WS , HSA_HH_UK , EUxGB WS ," 81,538 "," 160,851 "," 17,931 "," 80,574 "," 164,139 "," 276,911 "," 319,635 "," 474,305 "," 667,180 "," 905,642 "," 992,818 "," 1,296,110 "," 1,640,760 "," 2,938,926 "," 30,659 "," 111,208 "," 209,743 "," 337,756 "," 385,221 "," 553,640 "," 757,888 "," 1,004,490 "," 1,093,643 "," 1,400,680 "," 1,747,408 "," 3,053,768 "
314, S33_FA_EU_DE-EUxESGB EQ , S33_FA_EU_DE , EUxESGB EQ ," 3,076 "," 84,969 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 11 ," 4,278 "," 43,123 "," 74,366 "," 296,962 "," 801,173 "," 4,071,477 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 117 ," 4,287 "," 43,205 "," 74,504 "," 297,412 "," 802,098 "," 4,076,092 "
315, S33_FA_EU_NL-EUxGB WS , S33_FA_EU_NL , EUxGB WS , 63 , 455 , 1 , 30 , 115 , 263 , 324 , 559 , 893 ," 1,408 "," 1,637 "," 2,651 "," 4,284 "," 17,129 ", 14 , 44 , 136 , 293 , 357 , 605 , 951 ," 1,475 "," 1,706 "," 2,723 "," 4,358 "," 17,214 "
316, S33_FA_EU_ES-EUxESGB EQ Adj , S33_FA_EU_ES , EUxESGB EQ Adj , 119 ," 5,165 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , 6 ," 1,595 "," 16,727 "," 280,587 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 3 , 9 ," 1,595 "," 16,734 "," 280,753 "
317, S33_FA_Lloyds_QS-EU FL HD , S33_FA_Lloyds_QS , EU FL HD ," 143,424 "," 2,683,227 ", -   , -   , 735 ," 34,000 "," 67,695 "," 345,036 "," 1,449,935 "," 3,954,002 "," 5,402,788 "," 12,709,201 "," 40,406,909 "," 100,836,685 ",                       -   ,                         -   ," 1,793 "," 34,699 "," 68,649 "," 350,601 "," 1,452,463 "," 3,961,975 "," 5,453,036 "," 12,827,559 "," 44,270,008 "," 113,915,093 "
318, S33_HH_EU_BE-EU FL HD , S33_HH_EU_BE , EU FL HD , 78 ," 3,329 ", 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ," 3,764 "," 14,480 "," 163,489 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ," 3,820 "," 14,507 "," 167,717 "
