ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
1, HIC_COMM_UK-EU FL HD , HIC_COMM_UK , EU FL HD , 8 , 859 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 54 ," 8,498 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 54 ," 11,376 "
2, HIC_COMM_UK-EUxESGB EQ Adj , HIC_COMM_UK , EUxESGB EQ Adj , 9 , 816 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 3 ," 26,285 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 3 ," 26,288 "
3, HIC_HH_UK-GB FL HD , HIC_HH_UK , GB FL HD ," 1,806,464 "," 5,190,565 "," 321,433 "," 1,662,038 "," 3,614,765 "," 6,562,101 "," 7,816,145 "," 12,665,230 "," 19,365,339 "," 29,108,147 "," 34,360,948 "," 47,469,695 "," 62,873,626 "," 123,895,468 "," 394,922 "," 2,085,058 "," 4,377,372 "," 7,694,162 "," 8,978,776 "," 14,114,050 "," 21,112,263 "," 31,420,184 "," 36,084,219 "," 49,469,296 "," 65,713,616 "," 127,401,397 "
4, HIC_HH_UK-GB WSSS , HIC_HH_UK , GB WSSS ," 10,775,338 "," 19,441,076 "," 3,012,164 "," 8,192,712 "," 14,372,794 "," 24,133,670 "," 28,846,515 "," 50,181,746 "," 81,040,832 "," 125,544,224 "," 141,687,901 "," 190,667,382 "," 235,118,461 "," 351,932,215 "," 5,882,899 "," 13,796,268 "," 21,751,630 "," 33,191,155 "," 38,249,264 "," 59,935,136 "," 91,608,880 "," 136,406,296 "," 152,583,631 "," 201,951,301 "," 247,038,005 "," 367,378,982 "
5, HIG_FA_GU-EUxESGB EQ Adj , HIG_FA_GU , EUxESGB EQ Adj ," 167,884 "," 1,067,543 ", 118 ," 19,989 "," 141,794 "," 559,964 "," 798,655 "," 1,952,714 "," 3,784,444 "," 6,467,380 "," 7,464,717 "," 10,883,946 "," 14,688,030 "," 29,778,889 "," 2,491 "," 23,055 "," 150,996 "," 584,074 "," 829,734 "," 2,008,889 "," 3,876,038 "," 6,588,378 "," 7,594,704 "," 11,043,729 "," 14,877,215 "," 30,041,478 "
6, HIG_FA_GU-GB FL HD , HIG_FA_GU , GB FL HD ," 19,601 "," 211,915 ", -   , -   , 56 ," 20,454 "," 47,435 "," 199,983 "," 422,245 "," 757,447 "," 896,502 "," 1,814,576 "," 3,054,931 "," 7,887,573 ",                       -   ,                         -   , 132 ," 20,508 "," 47,888 "," 203,290 "," 434,151 "," 764,148 "," 912,239 "," 1,814,417 "," 3,087,766 "," 8,539,374 "
7, HIG_FA_GU_QS-EU FL HD , HIG_FA_GU_QS , EU FL HD ," 10,463 "," 208,849 ", -   , -   , -   , -   , 1 ," 4,775 "," 55,448 "," 318,465 "," 503,035 "," 1,546,649 "," 2,650,722 "," 10,248,714 ",                       -   ,                         -   ,                         -   ,                         -   , 25 ," 4,771 "," 55,377 "," 317,751 "," 503,981 "," 1,556,560 "," 2,660,067 "," 10,988,275 "
8, HIG_FA_GU_QS-GB FL HD , HIG_FA_GU_QS , GB FL HD ," 2,228 "," 52,159 ", -   , -   , -   , -   , -   , 255 ," 9,592 "," 63,284 "," 96,690 "," 274,434 "," 525,410 "," 1,773,829 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 258 ," 9,633 "," 63,371 "," 97,104 "," 276,235 "," 528,564 "," 2,286,380 "
9, HIG_FA_GU_SRP-GB FL HD , HIG_FA_GU_SRP , GB FL HD , 882 ," 39,825 ", -   , -   , -   , -   , -   , -   , -   , 29 , 271 ," 10,737 "," 67,346 "," 2,067,454 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 41 , 271 ," 10,842 "," 68,340 "," 2,682,147 "
10, HIG_HH_GU-GB WSSS , HIG_HH_GU , GB WSSS ," 12,730 "," 66,028 "," 3,223 "," 10,135 "," 19,769 "," 33,435 "," 38,770 "," 59,163 "," 88,149 "," 132,132 "," 150,980 "," 228,037 "," 334,183 "," 964,254 "," 10,115 "," 20,035 "," 31,513 "," 46,967 "," 52,871 "," 74,934 "," 105,213 "," 149,817 "," 168,699 "," 245,640 "," 351,711 "," 983,002 "
11, HSA_COMM_EU_DE-DE FL , HSA_COMM_EU_DE , DE FL ," 225,281 "," 1,173,389 "," 2,564 "," 109,656 "," 361,410 "," 869,474 "," 1,114,277 "," 2,217,897 "," 3,923,464 "," 6,253,986 "," 7,138,697 "," 10,419,649 "," 14,923,456 "," 38,926,398 "," 4,464 "," 122,446 "," 397,860 "," 939,559 "," 1,196,249 "," 2,337,251 "," 4,078,679 "," 6,443,136 "," 7,340,549 "," 10,655,141 "," 15,184,648 "," 39,218,293 "
12, HSA_COMM_EU_DE-EUxGB WS CVV (FlrArea) , HSA_COMM_EU_DE , EUxGB WS CVV (FlrArea) ," 55,719 "," 177,524 "," 4,668 "," 46,488 "," 122,444 "," 235,108 "," 279,397 "," 451,076 "," 693,530 "," 1,014,945 "," 1,134,361 "," 1,555,399 "," 2,065,600 "," 4,381,960 "," 12,982 "," 61,815 "," 146,581 "," 269,924 "," 317,967 "," 501,294 "," 752,533 "," 1,079,841 "," 1,201,064 "," 1,626,907 "," 2,141,622 "," 4,465,210 "
13, HSA_COMM_EU_ES-EUxGB WS , HSA_COMM_EU_ES , EUxGB WS , -   , 4 ,                       -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 113 ,                       -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 113 
14, HSA_COMM_EU_FR-DE FL , HSA_COMM_EU_FR , DE FL , -   , 10 ,                       -   ,                       -   , -   , -   , -   , -   , -   , -   , -   , 1 , 21 , 442 ,                       -   ,                         -   , -   , -   , -   , -   , -   , -   , -   , 1 , 21 , 442 
15, HSA_COMM_EU_IE-GB WSSS (FlrArea) , HSA_COMM_EU_IE , GB WSSS (FlrArea) ," 12,011 "," 54,121 ", 844 ," 6,957 "," 19,752 "," 44,616 "," 55,963 "," 105,404 "," 184,711 "," 304,049 "," 351,539 "," 525,489 "," 734,123 "," 1,596,301 "," 2,065 "," 9,334 "," 23,554 "," 50,166 "," 62,133 "," 113,558 "," 194,684 "," 315,483 "," 363,401 "," 538,467 "," 748,212 "," 1,613,849 "
16, HSA_COMM_UK-EUxESGB EQ Adj , HSA_COMM_UK , EUxESGB EQ Adj ," 6,772 "," 123,902 ",                       -   ,                       -   , 2 , 169 , 601 ," 7,828 "," 47,215 "," 205,279 "," 301,899 "," 828,859 "," 1,976,559 "," 5,017,546 ",                       -   ,                         -   , 36 , 196 , 612 ," 7,887 "," 47,470 "," 206,016 "," 302,881 "," 831,117 "," 1,980,207 "," 5,028,185 "
17, HSA_FA_EU_BE-GB FL , HSA_FA_EU_BE , GB FL , 461 ," 22,765 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 1 , 2 , 78 , 361 ," 8,077 "," 56,962 "," 1,067,339 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 15 , 46 , 120 , 365 ," 8,084 "," 56,992 "," 1,067,891 "
18, HSA_FA_EU_BE-GB FL HD , HSA_FA_EU_BE , GB FL HD , 381 ," 13,117 ", -   , -   , -   , -   , -   , -   , 82 ," 2,911 "," 6,121 "," 38,428 "," 90,217 "," 413,865 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 85 ," 2,940 "," 6,180 "," 39,122 "," 90,651 "," 415,747 "
19, HSA_FA_EU_DE-DE FL , HSA_FA_EU_DE , DE FL ," 139,161 "," 739,622 ", 55 ," 52,005 "," 243,023 "," 603,797 "," 759,101 "," 1,388,269 "," 2,327,883 "," 3,791,201 "," 4,420,432 "," 6,925,396 "," 10,093,475 "," 23,452,226 "," 1,303 "," 55,966 "," 259,606 "," 641,749 "," 805,197 "," 1,461,876 "," 2,429,667 "," 3,914,666 "," 4,549,457 "," 7,062,436 "," 10,241,512 "," 23,640,529 "
20, HSA_FA_EU_DE-EUxGB WS CVV , HSA_FA_EU_DE , EUxGB WS CVV ," 18,507 "," 26,602 "," 4,225 "," 14,223 "," 26,684 "," 43,971 "," 50,659 "," 75,144 "," 105,454 "," 141,942 "," 155,083 "," 200,572 "," 254,171 "," 526,116 "," 11,702 "," 25,517 "," 40,713 "," 60,515 "," 67,941 "," 94,448 "," 126,406 "," 164,161 "," 177,633 "," 224,005 "," 278,110 "," 549,886 "
21, HSA_FA_EU_DE_QS-EU FL HD , HSA_FA_EU_DE_QS , EU FL HD , 331 ," 13,572 ", -   , -   , -   , -   , -   , -   , -   , -   , 1 ," 8,733 "," 59,483 "," 668,719 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   , 5 ," 8,849 "," 60,313 "," 708,194 "
22, HSA_FA_EU_ES-GB FL HD , HSA_FA_EU_ES , GB FL HD , 32 ," 1,404 ", -   , -   , -   , -   , -   , -   , -   , 121 , 331 ," 1,825 "," 5,212 "," 75,979 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 120 , 330 ," 1,832 "," 5,248 "," 81,582 "
23, HSA_FA_EU_FR-DE FL , HSA_FA_EU_FR , DE FL , 139 ," 2,292 ",                       -   , -   , -   , -   , 1 , 132 ," 1,686 "," 6,568 "," 8,946 "," 18,654 "," 31,494 "," 92,253 ",                       -   , -   , 2 , 5 , 8 , 133 ," 1,693 "," 6,591 "," 8,976 "," 18,713 "," 31,590 "," 92,455 "
24, HSA_FA_EU_FR-EUxGB WS , HSA_FA_EU_FR , EUxGB WS ," 55,895 "," 89,868 "," 12,117 "," 52,688 "," 100,262 "," 161,497 "," 184,272 "," 265,246 "," 362,595 "," 477,271 "," 518,130 "," 657,743 "," 819,629 "," 1,608,593 "," 27,379 "," 79,495 "," 137,006 "," 207,995 "," 233,728 "," 323,002 "," 427,032 "," 546,861 "," 588,986 "," 731,936 "," 895,800 "," 1,685,496 "
25, HSA_FA_EU_NL_QS-EU FL HD , HSA_FA_EU_NL_QS , EU FL HD , 86 ," 5,211 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,010 "," 221,646 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ," 3,041 "," 314,090 "
26, HSA_FA_EU_PT-EUxESGB EQ Adj , HSA_FA_EU_PT , EUxESGB EQ Adj ," 69,799 "," 1,947,640 ",                       -   ,                       -   , 52 , 367 ," 2,149 "," 49,095 "," 348,053 "," 1,541,053 "," 2,264,164 "," 6,269,062 "," 14,250,851 "," 104,460,543 ",                       -   ,                         -   ," 1,137 "," 3,489 "," 5,164 "," 49,764 "," 350,030 "," 1,546,676 "," 2,271,812 "," 6,284,637 "," 14,277,144 "," 104,530,747 "
27, HSA_FA_EU_PT-GB WSSS , HSA_FA_EU_PT , GB WSSS , 148 ," 1,250 ", -   , 26 , 142 , 425 , 579 ," 1,417 "," 2,966 "," 5,293 "," 6,224 "," 9,772 "," 14,561 "," 46,644 ", 24 , 50 , 171 , 469 , 628 ," 1,486 "," 3,057 "," 5,409 "," 6,348 "," 9,922 "," 14,730 "," 46,848 "
28, HSA_FA_UK-EU FL HD , HSA_FA_UK , EU FL HD , 202 ," 6,111 ", -   , -   , -   , -   , -   , -   , 88 ," 1,861 "," 3,926 "," 17,018 "," 54,996 "," 369,892 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 89 ," 1,860 "," 3,934 "," 17,169 "," 55,002 "," 419,500 "
29, HSA_HH_EU_BE-BE FL , HSA_HH_EU_BE , BE FL ," 726,839 "," 2,714,203 "," 143,801 "," 314,244 "," 538,462 "," 1,107,863 "," 1,530,036 "," 4,509,660 "," 10,728,082 "," 20,174,375 "," 22,699,418 "," 30,777,332 "," 38,250,297 "," 60,149,676 "," 301,433 "," 610,038 "," 920,582 "," 1,536,201 "," 1,958,714 "," 4,938,002 "," 11,250,170 "," 20,722,597 "," 23,285,099 "," 31,466,646 "," 39,033,931 "," 61,261,963 "
30, HSA_HH_EU_BE-GB FL , HSA_HH_EU_BE , GB FL , 206 ," 7,362 ",                       -   ,                       -   ,                         -   , -   , -   , -   , 1 , 510 ," 1,587 "," 14,387 "," 49,685 "," 332,462 ",                       -   ,                         -   ,                         -   , -   , 2 , 10 , 26 , 511 ," 1,588 "," 14,399 "," 49,726 "," 332,766 "
31, HSA_HH_EU_ES-EUxGB WS , HSA_HH_EU_ES , EUxGB WS ," 2,033 "," 8,804 ", 23 ," 1,023 "," 3,684 "," 8,980 "," 11,374 "," 21,229 "," 35,033 "," 52,980 "," 59,635 "," 83,022 "," 110,391 "," 230,736 ", 248 ," 1,319 "," 4,205 "," 9,830 "," 12,343 "," 22,584 "," 36,767 "," 55,048 "," 61,813 "," 85,456 "," 113,042 "," 233,855 "
32, HSA_HH_EU_NL-EUxESGB EQ , HSA_HH_EU_NL , EUxESGB EQ ," 317,493 "," 4,498,872 ", 119 ," 9,795 "," 107,564 "," 664,292 "," 1,082,306 "," 3,125,672 "," 6,380,663 "," 10,729,891 "," 12,385,797 "," 19,103,363 "," 32,604,832 "," 200,570,578 "," 2,306 "," 25,181 "," 117,994 "," 688,029 "," 1,113,459 "," 3,193,313 "," 6,498,589 "," 10,904,449 "," 12,581,099 "," 19,373,071 "," 32,904,227 "," 200,935,700 "
33, HSA_HH_EU_PT-EUxESGB EQ Adj , HSA_HH_EU_PT , EUxESGB EQ Adj ," 669,243 "," 10,165,600 ",                       -   , 12 , 441 ," 77,350 "," 200,214 "," 1,600,007 "," 7,316,687 "," 28,350,848 "," 41,194,447 "," 95,167,807 "," 160,545,947 "," 384,958,908 ",                       -   , 245 ," 8,900 "," 79,280 "," 203,224 "," 1,615,006 "," 7,366,431 "," 28,471,340 "," 41,345,445 "," 95,435,876 "," 160,992,224 "," 386,057,369 "
34, S33_FA_EU_DE-EUxESGB EQ Adj , S33_FA_EU_DE , EUxESGB EQ Adj ," 1,853 "," 65,479 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 2 , 554 ," 12,311 "," 23,728 "," 114,999 "," 386,050 "," 3,234,911 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 30 , 561 ," 12,328 "," 23,761 "," 115,149 "," 386,419 "," 3,237,010 "
35, S33_FA_EU_DE-EUxGB WS , S33_FA_EU_DE , EUxGB WS , 235 ," 2,138 ", 6 , 70 , 206 , 537 , 731 ," 1,794 "," 3,981 "," 7,969 "," 9,743 "," 17,042 "," 27,296 "," 82,700 ", 74 , 142 , 292 , 643 , 844 ," 1,931 "," 4,147 "," 8,167 "," 9,951 "," 17,283 "," 27,565 "," 83,080 "
36, S33_FA_EU_FR-EUxESGB EQ , S33_FA_EU_FR , EUxESGB EQ ," 24,388 "," 355,882 ",                       -   ,                       -   ,                         -   , 18 , 878 ," 71,212 "," 409,907 "," 1,198,122 "," 1,561,947 "," 3,036,952 "," 5,019,482 "," 14,116,822 ",                       -   ,                         -   ,                         -   , 265 , 929 ," 71,530 "," 411,928 "," 1,203,657 "," 1,569,090 "," 3,049,552 "," 5,036,812 "," 14,154,663 "
37, S33_FA_EU_FR-EUxESGB EQ Adj , S33_FA_EU_FR , EUxESGB EQ Adj ," 13,407 "," 258,275 ",                       -   ,                       -   ,                         -   ,                         -   , 13 ," 10,666 "," 127,728 "," 508,108 "," 712,217 "," 1,658,071 "," 3,121,215 "," 11,282,819 ",                       -   ,                         -   ,                         -   ,                         -   , 189 ," 10,703 "," 128,168 "," 509,825 "," 714,605 "," 1,662,847 "," 3,129,233 "," 11,299,864 "
38, S33_FA_Lloyds-EUxESGB EQ , S33_FA_Lloyds , EUxESGB EQ ," 604,621 "," 3,532,820 "," 3,609 "," 169,655 "," 755,923 "," 2,286,938 "," 3,054,449 "," 6,501,263 "," 11,890,084 "," 19,484,069 "," 22,426,555 "," 33,082,802 "," 45,957,949 "," 111,873,527 "," 11,152 "," 190,593 "," 818,779 "," 2,420,362 "," 3,216,785 "," 6,766,942 "," 12,264,681 "," 19,964,286 "," 22,937,782 "," 33,682,150 "," 46,638,169 "," 112,751,867 "
39, S33_FA_Lloyds_SRP-GB FL HD , S33_FA_Lloyds_SRP , GB FL HD ," 89,327 "," 778,440 ", -   , -   , -   ," 25,650 "," 179,536 "," 1,317,738 "," 3,062,423 "," 4,302,221 "," 4,581,825 "," 5,401,672 "," 6,326,407 "," 33,982,526 ",                       -   ,                         -   ,                         -   ," 25,758 "," 181,303 "," 1,332,057 "," 3,076,044 "," 4,351,829 "," 4,611,544 "," 5,468,035 "," 6,485,151 "," 39,009,370 "
40, S33_FA_Miami-EUxESGB EQ , S33_FA_Miami , EUxESGB EQ , 4 ," 2,101 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   , 1 ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   , 25 
41, S33_FA_Miami-EUxGB WS CVV , S33_FA_Miami , EUxGB WS CVV , 29 , 436 , -   , 4 , 28 , 85 , 111 , 217 , 381 , 677 , 838 ," 1,769 "," 3,600 "," 19,124 ", 7 , 12 , 36 , 95 , 122 , 232 , 400 , 700 , 862 ," 1,794 "," 3,627 "," 19,167 "
42, S33_FA_UK-EUxESGB EQ , S33_FA_UK , EUxESGB EQ ," 1,361 "," 48,450 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,770 "," 7,021 "," 76,608 "," 304,229 "," 2,460,365 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,771 "," 7,025 "," 76,665 "," 304,442 "," 2,462,103 "
43, S33_FA_UK-EUxGB WS CVV , S33_FA_UK , EUxGB WS CVV , 46 , 465 , -   , 13 , 50 , 127 , 165 , 353 , 736 ," 1,445 "," 1,764 "," 3,105 "," 5,097 "," 17,985 ", 17 , 31 , 69 , 151 , 191 , 385 , 773 ," 1,488 "," 1,809 "," 3,156 "," 5,153 "," 18,058 "
44, S33_HH_EU_BE-EUxESGB EQ Adj , S33_HH_EU_BE , EUxESGB EQ Adj ," 6,515 "," 114,438 ",                       -   ,                       -   ,                         -   ,                         -   , 1 ," 1,214 "," 53,201 "," 272,088 "," 389,847 "," 907,765 "," 1,625,323 "," 4,765,161 ",                       -   ,                         -   ,                         -   ,                         -   , 10 ," 1,220 "," 53,327 "," 272,811 "," 390,862 "," 910,055 "," 1,629,104 "," 4,775,257 "
45, S33_HH_EU_DE-EUxESGB EQ Adj , S33_HH_EU_DE , EUxESGB EQ Adj ," 15,812 "," 302,600 ",                       -   ,                       -   ,                         -   , 377 ," 2,214 "," 43,534 "," 218,299 "," 632,186 "," 839,136 "," 1,763,317 "," 3,160,391 "," 12,694,456 ",                       -   ,                         -   ,                         -   , 812 ," 2,280 "," 43,806 "," 219,539 "," 635,405 "," 843,084 "," 1,770,117 "," 3,170,447 "," 12,718,337 "
46, S33_HH_EU_FR-EUxESGB EQ Adj , S33_HH_EU_FR , EUxESGB EQ Adj ," 3,725 "," 150,904 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 14 ," 2,902 "," 38,684 "," 69,654 "," 303,635 "," 796,045 "," 5,941,232 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 219 ," 2,920 "," 38,752 "," 69,770 "," 304,044 "," 797,042 "," 5,945,850 "
47, S33_HH_EU_FR-EUxGB WS , S33_HH_EU_FR , EUxGB WS , 821 ," 9,875 ", -   , 5 , 256 ," 1,736 "," 2,646 "," 7,292 "," 15,951 "," 31,311 "," 38,146 "," 66,235 "," 106,585 "," 381,866 ", 217 , 321 , 496 ," 1,988 "," 2,917 "," 7,657 "," 16,444 "," 31,941 "," 38,815 "," 67,036 "," 107,525 "," 383,260 "
48, S33_HH_Lloyds-EUxESGB EQ Adj , S33_HH_Lloyds , EUxESGB EQ Adj ," 18,737 "," 202,765 ",                       -   , 1 , 423 ," 11,865 "," 24,207 "," 138,189 "," 425,452 "," 941,185 "," 1,154,737 "," 1,968,476 "," 3,069,101 "," 6,993,145 ",                       -   , 8 , 444 ," 12,037 "," 24,541 "," 139,669 "," 429,389 "," 948,579 "," 1,163,342 "," 1,981,128 "," 3,085,611 "," 7,026,044 "
49, HIC_COMM_UK-EUxGB WS , HIC_COMM_UK , EUxGB WS , 9 , 98 , -   , -   , -   , 2 , 8 , 73 , 218 , 441 , 531 , 868 ," 1,314 "," 3,631 ", -   , -   , -   , 2 , 9 , 74 , 220 , 445 , 535 , 875 ," 1,322 "," 3,643 "
50, HIC_FA_UK-GB FL HD , HIC_FA_UK , GB FL HD ," 123,490 "," 753,392 ", -   , 6 ," 8,246 "," 145,635 "," 347,092 "," 2,134,231 "," 4,441,814 "," 6,140,916 "," 6,553,091 "," 7,562,797 "," 8,270,808 "," 10,186,277 ",                       -   , 66 ," 8,403 "," 147,344 "," 350,989 "," 2,156,108 "," 4,468,918 "," 6,207,812 "," 6,617,629 "," 7,672,663 "," 8,416,993 "," 12,039,332 "
51, HIC_HH_UK-GB FL , HIC_HH_UK , GB FL ," 2,125,560 "," 6,625,121 "," 336,100 "," 2,166,762 "," 4,444,696 "," 7,347,352 "," 8,513,196 "," 13,590,342 "," 21,969,466 "," 32,916,780 "," 36,971,725 "," 54,625,277 "," 93,939,135 "," 189,901,785 "," 395,305 "," 2,637,009 "," 5,303,157 "," 8,681,782 "," 10,010,226 "," 15,494,710 "," 23,951,428 "," 35,039,564 "," 39,176,758 "," 57,231,346 "," 96,092,767 "," 192,514,022 "
52, HIG_FA_GU-EU FL HD , HIG_FA_GU , EU FL HD ," 137,523 "," 1,004,668 ", -   ," 5,707 "," 184,162 "," 529,783 "," 665,845 "," 1,156,325 "," 2,235,291 "," 4,572,740 "," 5,395,693 "," 9,887,377 "," 18,324,152 "," 27,708,801 ",                       -   ," 5,809 "," 189,093 "," 554,069 "," 694,922 "," 1,228,225 "," 2,312,627 "," 4,635,879 "," 5,462,980 "," 10,123,324 "," 18,348,405 "," 28,063,399 "
53, HIG_HH_GU-EUxESGB EQ , HIG_HH_GU , EUxESGB EQ ," 79,398 "," 392,162 ", 22 ," 14,498 "," 96,192 "," 344,597 "," 470,870 "," 1,013,642 "," 1,760,663 "," 2,649,662 "," 2,950,341 "," 3,936,587 "," 4,908,901 "," 8,909,115 ", 211 ," 15,483 "," 101,540 "," 359,431 "," 489,819 "," 1,047,793 "," 1,811,950 "," 2,716,072 "," 3,022,767 "," 4,021,731 "," 5,010,051 "," 9,050,097 "
54, HIC_COMM_UK-GB WSSS , HIC_COMM_UK , GB WSSS ," 4,682,397 "," 8,392,312 "," 1,221,302 "," 3,402,454 "," 6,118,194 "," 10,744,429 "," 12,953,852 "," 23,215,846 "," 37,716,290 "," 54,888,533 "," 60,806,170 "," 78,987,258 "," 95,967,347 "," 146,889,293 "," 2,532,087 "," 5,828,058 "," 9,294,855 "," 14,544,173 "," 16,897,771 "," 27,389,186 "," 42,132,043 "," 59,625,516 "," 65,622,830 "," 84,077,396 "," 101,370,616 "," 154,084,517 "
55, HIG_HH_GU-GB WSSS CVV (FlrArea) , HIG_HH_GU , GB WSSS CVV (FlrArea) ," 4,349 "," 61,400 ", 910 ," 2,491 "," 5,265 "," 10,364 "," 12,536 "," 21,372 "," 34,803 "," 55,843 "," 64,818 "," 100,674 "," 149,100 "," 459,042 "," 6,148 "," 8,767 "," 11,871 "," 17,245 "," 19,541 "," 28,790 "," 42,600 "," 63,888 "," 72,911 "," 108,874 "," 157,425 "," 468,186 "
56, HIC_COMM_UK-GB WSSS (FlrArea) , HIC_COMM_UK , GB WSSS (FlrArea) ," 4,682,397 "," 8,391,754 "," 1,220,845 "," 3,401,186 "," 6,116,432 "," 10,742,918 "," 12,952,549 "," 23,215,530 "," 37,716,476 "," 54,888,875 "," 60,806,340 "," 78,985,135 "," 95,960,989 "," 146,871,919 "," 2,532,394 "," 5,827,147 "," 9,293,164 "," 14,542,328 "," 16,896,052 "," 27,388,498 "," 42,131,943 "," 59,625,600 "," 65,622,768 "," 84,075,018 "," 101,364,294 "," 154,066,589 "
57, HSA_COMM_EU_DE-BE FL , HSA_COMM_EU_DE , BE FL , -   , 28 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 15 , 77 , 919 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 16 , 78 , 920 
58, HSA_COMM_EU_ES-EU FL HD , HSA_COMM_EU_ES , EU FL HD , -   , 32 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 907 ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   ," 2,115 "
59, HSA_COMM_EU_IE-BE FL , HSA_COMM_EU_IE , BE FL , 1 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 22 , 97 , 981 , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 22 , 98 , 982 
60, HSA_COMM_EU_IE-GB FL HD , HSA_COMM_EU_IE , GB FL HD ," 10,362 "," 87,790 ", -   , -   , 705 ," 22,763 "," 36,492 "," 96,523 "," 233,886 "," 498,031 "," 625,754 "," 1,034,613 "," 1,381,832 "," 2,157,502 ",                       -   ,                         -   , 704 ," 23,091 "," 36,900 "," 98,675 "," 238,215 "," 504,824 "," 628,745 "," 1,044,072 "," 1,391,802 "," 2,281,077 "
61, HSA_COMM_UK-EUxGB WS CVV (FlrArea) , HSA_COMM_UK , EUxGB WS CVV (FlrArea) ," 15,201 "," 83,257 ", 21 ," 3,428 "," 17,743 "," 57,771 "," 79,374 "," 178,554 "," 326,223 "," 519,637 "," 591,041 "," 838,453 "," 1,120,942 "," 2,240,762 "," 2,388 "," 5,814 "," 21,027 "," 62,799 "," 85,108 "," 186,846 "," 337,434 "," 533,845 "," 606,093 "," 856,246 "," 1,141,043 "," 2,267,164 "
62, HIG_FA_GU-EUxGB WS , HIG_FA_GU , EUxGB WS ," 21,263 "," 37,158 "," 4,403 "," 16,847 "," 33,483 "," 57,445 "," 66,973 "," 103,021 "," 149,712 "," 207,752 "," 228,872 "," 302,149 "," 387,406 "," 787,769 "," 12,097 "," 28,623 "," 48,457 "," 75,543 "," 86,010 "," 124,637 "," 173,376 "," 232,925 "," 254,480 "," 328,816 "," 414,814 "," 818,054 "
63, HSA_FA_EU_BE-GB WSSS , HSA_FA_EU_BE , GB WSSS , 345 ," 1,408 ", 36 , 273 , 639 ," 1,238 "," 1,502 "," 2,654 "," 4,472 "," 7,081 "," 8,107 "," 11,948 "," 16,948 "," 44,913 ", 77 , 361 , 781 ," 1,440 "," 1,724 "," 2,929 "," 4,789 "," 7,432 "," 8,469 "," 12,339 "," 17,365 "," 45,377 "
