ModelEventID,OccYear,Factor
410011906,910,1
410011993,917,1
410012786,978,1
410013324,1021,1
410013384,1026,1
410013496,1033,1
410013540,1037,1
410013766,1057,1
410091290,6893,1
410091843,6933,1
410091877,6935,1
410092669,6994,1
410093298,7040,1
410094081,7099,1
410094216,7109,1
410094635,7139,1
410098098,7399,1
410098111,7400,1
410098934,7463,1
410099559,7509,1
410099665,7519,1
410003399,254,1
410003581,267,1
410004793,365,1
410005127,389,1
410005483,415,1
410070194,5305,1
410071432,5401,1
410072452,5484,1
410073435,5557,1
410074160,5611,1
410074281,5620,1
410075294,5696,1
410075401,5705,1
410076063,5752,1
410076344,5772,1
410076585,5794,1
410077052,5828,1
410077276,5846,1
410078177,5912,1
410079711,6025,1
410080157,6060,1
410080987,6123,1
410081018,6126,1
410081998,6200,1
410082095,6205,1
410082326,6223,0
410083730,6332,1
410084106,6362,1
410084271,6374,1
410084560,6393,1
410084583,6395,1
410121842,9163,1
410122337,9200,1
410122371,9203,1
410123126,9261,1
410048181,3639,1
410072048,5452,1
410072498,5488,1
410073004,5525,1
410073347,5550,1
410073761,5581,1
410075180,5688,1
410075797,5733,1
410077124,5834,1
410077957,5895,0
410085432,6458,1
410085870,6494,1
410086239,6521,1
410086727,6559,1
410086731,6559,1
410087309,6600,1
410087351,6603,1
410087471,6611,1
410087862,6640,1
410087867,6641,1
410087901,6644,1
410088890,6717,1
410089073,6733,1
410089171,6740,1
410089756,6784,1
410090045,6806,1
410090857,6862,1
410091233,6888,1
410091427,6904,1
410055315,4177,1
410055324,4178,1
410057701,4356,1
410057820,4367,1
410059187,4470,1
410078215,5915,1
410078405,5929,1
410079685,6024,1
410091923,6939,1
410091974,6941,1
410091981,6941,1
410094753,7149,1
410094780,7151,1
410094954,7163,1
410095322,7192,1
410095344,7193,1
410095955,7236,1
410096493,7278,1
410097056,7320,1
410097844,7380,1
410099347,7493,1
410099572,7509,1
410099590,7511,1
410099634,7515,1
410101644,7669,1
410102208,7711,1
410104142,7847,1
410072947,5521,1
410127870,9611,0
410128852,9678,0
410131302,9861,0
410131363,9865,0
410131483,9873,0
410132460,9945,0
410132538,9951,0
410132933,9978,0
410132948,9979,0
410128493,9654,1
410129484,9724,1
410129567,9730,1
410131183,9853,1
410131585,9881,1
410132071,9917,1
410132366,9939,1
410132664,9960,1
410132848,9973,1
410001870,140,1
410002112,156,1
410002113,156,1
410002947,219,1
410003088,229,1
410004936,374,1
410005139,390,1
410005293,401,1
410006591,501,1
410006937,525,1
410006954,526,1
410007148,541,1
410007473,567,1
410007490,569,1
410002707,198,1
410003948,297,1
410004071,307,1
410005366,406,1
410006521,496,1
410008393,637,1
410008792,667,1
410009073,689,1
410009217,700,1
410010626,808,1
410010634,808,1
410011078,844,1
410011299,860,1
410012171,928,1
410013426,1028,1
410015764,1210,1
410015815,1213,1
410016131,1239,1
410016455,1265,1
410062777,4746,1
410063281,4783,1
410063458,4799,1
410063616,4809,1
410063642,4810,1
410063745,4817,1
410065510,4949,1
410065567,4953,1
410065890,4978,1
410066066,4990,1
410066689,5037,1
410066894,5054,1
410067157,5075,1
410067708,5115,1
410068241,5153,1
410068499,5174,1
410069492,5250,1
410069584,5257,1
410069773,5271,1
410070171,5302,1
410070643,5339,1
410071740,5427,1
410072306,5473,1
410072632,5498,1
410051265,3876,1
410051632,3902,0
410051947,3927,0
410051962,3929,1
410052118,3941,1
410036727,2784,1
410036925,2800,1
410037319,2828,1
410037390,2835,1
410037736,2862,1
410038300,2909,1
410038368,2914,1
410039055,2964,1
410039648,3008,1
410039862,3023,1
410040178,3045,1
410040222,3049,1
410041354,3131,1
410041742,3161,1
410041785,3164,1
410042264,3200,1
410099719,7523,1
410099824,7531,1
410100231,7564,1
410100266,7566,1
410101286,7640,1
410102659,7742,1
410104055,7842,1
410104484,7870,1
410104781,7891,1
410104928,7902,1
410105585,7953,1
410107533,8097,1
410103527,7804,1
410103760,7819,1
410104350,7860,1
410123122,9261,0
410123444,9284,0
410123989,9324,0
410124244,9344,1
410124429,9356,0
410125063,9403,0
410127254,9565,1
410128847,9678,0
410129553,9730,1
410129566,9730,1
410129830,9749,1
410101458,7654,1
410103573,7807,1
410104065,7842,1
410104126,7847,1
410104160,7849,1
410104192,7850,1
410104243,7853,1
410104518,7873,1
410104526,7873,1
410104723,7887,1
410105092,7914,1
410105176,7919,1
410105384,7936,1
410105798,7968,1
410106158,7996,1
410106633,8031,1
410107467,8093,1
410107568,8099,1
410107936,8125,1
410108394,8161,1
410108583,8175,1
410108783,8192,1
410109168,8219,1
410109582,8251,1
410110112,8288,1
410105221,7923,1
410105552,7949,1
410037466,2841,1
410038753,2942,1
410039158,2974,1
410039461,2993,1
410040127,3042,1
