Analysis,ExposureAttribute,CatalogTypeCode,EventID,ModelCode,YearID,PerilSetCode,GroundUpLoss,GrossLoss,NetOfPreCatLoss
EU_WS_GCAdj,HSA_HH_EU_IE,RDS     ,3,41,129,1,10546.0295955247,10201.1105824721,10201.1105824721
EU_WS_GCAdj,HSA_HH_EU_ES,HIST    ,13,41,9,1,1782.42622647029,1754.41081997035,1754.41081997035
EU_WS_GCAdj,HSA_COMM_EU_DE,RDS     ,4,41,130,1,499199.326503334,474803.075715114,474801.479881448
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,20,41,14,1,0.639999971148479,0.457601644764326,0.457601644764326
EU_WS_GCAdj,S33_HH_EU_BE,HIST    ,15,41,9,1,652.172937373104,642.941380515186,642.941380515186
EU_WS_GCAdj,S33_HH_EU_NL,HIST    ,12,41,8,1,108.199995547404,107.354420429585,107.354420429585
EU_WS_GCAdj,HSA_HH_UK,HIST    ,8,41,6,1,2444.91581326387,2263.85727884966,2263.85727884966
EU_WS_GCAdj,HSA_HH_EU_BE,HIST    ,23,41,15,1,94272.3667968049,92107.1194889393,92107.1194889393
EU_WS_GCAdj,HSA_COMM_EU_IE,HIST    ,30,41,21,1,145.874509082487,145.104328604471,145.104328604471
EU_WS_GCAdj,HSA_HH_EU_BE,HIST    ,13,41,9,1,117820.173626443,114891.634153994,114891.634153994
EU_WS_GCAdj,S33_HH_UK,HIST    ,26,41,18,1,6.56373999524358,6.1423723027425,6.1423723027425
EU_WS_GCAdj,S33_HH_EU_NL,HIST    ,25,41,17,1,1149.19601835071,1103.3682639083,1103.3682639083
EU_WS_GCAdj,HSA_HH_EU_PT,RDS     ,4,41,130,1,44.1599991466633,43.1659029439602,43.1659029439602
EU_WS_GCAdj,HSA_COMM_EU_FR,HIST    ,22,41,14,1,28065.3632560589,27577.0503613926,27577.0503613926
EU_WS_GCAdj,HSA_COMM_EU_FR,HIST    ,4,41,4,1,42.9838031011208,42.1318919860624,42.1318919860624
EU_WS_GCAdj,HIG_HH_GU,HIST    ,6,41,6,1,12695.8931441646,5779.99509494008,5779.99509494008
EU_WS_GCAdj,S3624_COMM_EU_DE,HIST    ,38,41,23,1,14.2671232358267,14.2671232358267,14.2671232358267
EU_WS_GCAdj,HSA_HH_EU_BE,HIST    ,16,41,10,1,8.35873990739265,8.35873990739265,8.35873990739265
EU_WS_GCAdj,S33_HH_EU_BE,HIST    ,18,41,12,1,26.3647759808947,26.1014482864113,26.1014482864113
EU_WS_GCAdj,HSA_HH_EU_FR,HIST    ,34,41,22,1,7845.6490207943,7707.53589499521,7707.53589499521
EU_WS_GCAdj,HSA_HH_UK,RDS     ,1,41,127,1,23467.6614859086,22329.4930430373,22329.4930430373
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,38,41,23,1,210652.088880529,206781.302598282,206781.302598282
EU_WS_GCAdj,HSA_HH_EU_FR,HIST    ,30,41,21,1,46500.1060988535,45756.354769139,45756.354769139
EU_WS_GCAdj,HSA_COMM_EU_IE,HIST    ,13,41,9,1,86785.4378985628,85399.6797878113,85399.6797878113
EU_WS_GCAdj,HSA_HH_EU_BE,HIST    ,35,41,23,1,1904.68510153116,1822.57628059334,1822.57628059334
EU_WS_GCAdj,S3624_COMM_EU_DE,RDS     ,6,41,132,1,2.2630137622471,2.2630137622471,2.2630137622471
EU_WS_GCAdj,HSA_COMM_UK,HIST    ,12,41,8,1,79.5059387811506,76.3358559161111,76.3358559161111
EU_WS_GCAdj,HIG_HH_GU,HIST    ,18,41,12,1,11.1356217822704,11.1356217822704,11.1356217822704
EU_WS_GCAdj,HSA_COMM_EU_IE,HIST    ,4,41,4,1,13.2610143780257,12.6088641088113,12.6088641088113
EU_WS_GCAdj,HSA_HH_EU_BE,HIST    ,26,41,18,1,4509.01526872242,4411.00893042245,4411.00893042245
EU_WS_GCAdj,S33_HH_EU_DE,RDS     ,2,41,128,1,542.361717746895,534.059589956368,534.059589956368
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,12,41,8,1,423374.162156525,410698.240579691,410697.849898335
EU_WS_GCAdj,HSA_COMM_EU_FR,RDS     ,5,41,131,1,60277.2671736424,59608.7935165538,59608.7935165538
EU_WS_GCAdj,HSA_COMM_EU_IE,HIST    ,27,41,18,1,144.302737760538,140.054128176194,140.054128176194
EU_WS_GCAdj,HSA_COMM_EU_IE,HIST    ,21,41,14,1,1767.79255375813,1753.09773742117,1753.09773742117
EU_WS_GCAdj,HSA_HH_EU_FR,HIST    ,31,41,21,1,283.84582795538,276.961430812146,276.961430812146
EU_WS_GCAdj,S3624_COMM_EU_DE,RDS     ,4,41,130,1,3.50684932470127,3.50684932470127,3.50684932470127
EU_WS_GCAdj,HSA_HH_UK,HIST    ,3,41,3,1,2013.90631350058,1746.10686669371,1746.10686669371
EU_WS_GCAdj,HSA_HH_EU_ES,HIST    ,31,41,21,1,1419.66538371582,1398.06212395901,1398.06212395901
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,26,41,18,1,17326.1523421544,16534.8244428878,16534.8244428878
EU_WS_GCAdj,HSA_HH_EU_IE,HIST    ,32,41,21,1,27008.5325305035,26437.9555013914,26437.9555013914
EU_WS_GCAdj,S3624_COMM_EU_DE,HIST    ,3,41,3,1,7.00273994685772,7.00273994685772,7.00273994685772
EU_WS_GCAdj,HSA_COMM_EU_FR,HIST    ,32,41,21,1,12177.3540635308,11929.5034027796,11929.5034027796
EU_WS_GCAdj,HSA_HH_EU_IE,HIST    ,24,41,16,1,80.5890884945128,79.1809217790121,79.1809217790121
EU_WS_GCAdj,S33_HH_EU_NL,HIST    ,19,41,13,1,64.9200006983968,64.3741073644499,64.3741073644499
EU_WS_GCAdj,S33_HH_Lloyds,HIST    ,13,41,9,1,230853.819405074,226569.124616439,226569.124616439
EU_WS_GCAdj,HSA_HH_EU_ES,HIST    ,29,41,20,1,1425.19658409851,1403.5933243417,1403.5933243417
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,18,41,12,1,12841.8646799954,11919.4569422834,11919.4569422834
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,21,41,14,1,8635.60636033853,8491.25399640363,8491.25399640363
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,30,41,21,1,685027.527697206,671184.872300148,671184.872300148
EU_WS_GCAdj,HSA_HH_UK,HIST    ,7,41,6,1,2226.6390896959,2129.15508763328,2129.15508763328
EU_WS_GCAdj,HSA_HH_EU_BE,HIST    ,17,41,11,1,533645.160097555,520144.703466326,520144.703466326
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,11,41,7,1,11.7919995147411,11.6651632470683,11.6651632470683
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,19,41,13,1,8548.44163091206,7681.35802420378,7681.35802420378
EU_WS_GCAdj,S33_HH_EU_NL,RDS     ,5,41,131,1,8878.55918863323,8762.92009028446,8762.92009028446
EU_WS_GCAdj,S33_HH_EU_NL,HIST    ,17,41,11,1,412.1949907608,407.73893079064,407.73893079064
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,37,41,23,1,3560.44733370944,3263.73419484667,3263.73419484667
EU_WS_GCAdj,HSA_HH_EU_FR,HIST    ,14,41,9,1,6557866.62354667,6438737.90496173,6422132.27291377
EU_WS_GCAdj,HSA_HH_EU_IE,HIST    ,17,41,11,1,169996.218157041,167224.847629135,167224.847629135
EU_WS_GCAdj,HSA_HH_EU_FR,HIST    ,36,41,23,1,222.31456463056,216.537949134286,216.537949134286
EU_WS_GCAdj,S3624_COMM_EU_DE,HIST    ,18,41,12,1,1.00821915255385,1.00821915255385,1.00821915255385
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,7,41,6,1,67825.228273714,66322.4774350265,66322.4774350265
EU_WS_GCAdj,HSA_COMM_EU_FR,HIST    ,9,41,6,1,59331.4357459733,58732.4815119594,58732.4815119594
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,11,41,7,1,9.67077255892544,8.51059283881974,8.51059283881974
EU_WS_GCAdj,HIG_HH_GU,HIST    ,34,41,22,1,286.692109143929,112.269945091257,112.269945091257
EU_WS_GCAdj,HSA_HH_EU_IE,HIST    ,31,41,21,1,82103.7057793028,80931.3273460689,80931.3273460689
EU_WS_GCAdj,HSA_HH_EU_DE,RDS     ,3,41,129,1,2468202.57219934,2383733.50458627,2380987.02454378
